,month,day,temperature,humidity,visibility,pressure,windSpeed,cloudCover,windBearing,precipIntensity,dewPoint,precipProbability,Dishwasher [kW],Home office [kW],Fridge [kW],Wine cellar [kW],Garage door [kW],Barn [kW],Well [kW],Microwave [kW],Living room [kW],Furnace [kW],Kitchen [kW],Season_Autumn,Season_Spring,Season_Summer,Season_Winter,Part of the Day_Madrugada,Part of the Day_Manaña,Part of the Day_Media Mañana,Part of the Day_Medio Dia,Part of the Day_Noche,Part of the Day_Tarde,Part of the Day_Tarde-Noche,day of week_Monday,day of week_Tuesday,day of week_Wednesday,day of week_Thursday,day of week_Friday,day of week_Saturday,day of week_Sunday,uso original,uso predicho
11,1,1,37.046,0.608,10.0,1014.7980000000001,8.258000000000001,0.75,252.2,0.0,24.876,0.0,0.006783603,5.68283333,7.272116665,0.447499999,0.776133331,2.291949995,0.061883335,1.707633333,8.705049996,30.663000007,0.044400833,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,79.298183335,123.08395
12,1,1,37.23633333333334,0.59,10.0,1013.8286666666667,9.529333333333334,0.8583333333333333,272.43333333333334,0.0,24.196,0.0,0.006116932,2.4791833309999998,7.10358333,1.548283336,0.773600002,1.769800001,5.820750004,0.247733333,6.045316663,28.048833335999998,0.045017835,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,115.001316667,124.274155
13,1,1,37.163333333333334,0.5853333333333333,10.0,1013.0406666666667,8.591333333333333,1.0,270.6666666666667,0.0,23.94333333333333,0.0,0.015200268,2.492933336,6.823166667,7.389333334,0.732850004,1.73905,0.062083341,1.665999999,5.974933338,37.351050003000005,5.353350768,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,125.723383334,121.53645
14,1,1,36.879999999999995,0.59,9.535,1012.575,7.35,1.0,264.0,0.0,23.84,0.0,29.262149998,2.488466668,7.005850002,3.570249999,1.038333333,2.153266667,2.491983337,0.24655,2.028066668,15.736283338,0.647383963,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,78.259400001,119.55434
15,1,1,36.217999999999996,0.6053333333333334,9.512666666666666,1012.44,8.081999999999999,1.0,257.8666666666667,0.0,23.822000000000003,0.0,30.115883334,2.45285,6.536549999,0.425583338,0.751699999,2.470383335,0.062600004,3.912816668,0.090866665,20.184216667,0.0564677,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,76.276699998,114.86635
16,1,1,35.332,0.6326666666666667,9.418333333333333,1012.542,8.360666666666667,0.609,255.43333333333334,0.0006233333333333334,24.199333333333335,0.011333333333333334,0.051399936,2.5136,6.472250001,0.425316665,1.043366667,30.231233331000002,0.065716671,0.252300003,2.4895,26.496933333,0.044567366000000004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,89.099183337,155.14583
17,1,1,34.278,0.668,8.732,1012.8240000000001,7.712000000000001,0.31,261.0,0.0011,24.442,0.02,0.006266701,2.5385,6.772850001,0.440066667,0.75986667,30.550733333,8.491850002,0.25706667,5.9402166659999995,26.703716669,0.054001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,115.7258,130.6114
18,1,1,33.236666666666665,0.6926666666666667,8.228666666666667,1013.378,8.568000000000001,0.3923333333333333,270.06666666666666,0.0004033333333333334,24.206333333333337,0.007333333333333333,0.003916933,2.543366664,14.197633334999999,0.43605,0.756200002,6.652033334,0.061300007,0.246783332,5.994849999,20.903933329,0.048550699,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,121.818900003,135.69873
19,1,2,32.403333333333336,0.6866666666666668,9.22,1013.7266666666667,8.306666666666667,0.23333333333333334,276.3333333333333,0.0,23.226666666666667,0.0,0.005150201,4.8955833349999995,8.948349999,0.43865,0.754116666,2.874933335,2.5090500029999996,3.770033334,9.622533336,29.900616664,0.042700836,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,165.506316669,129.65543
20,1,2,31.652,0.645,9.94,1013.8639999999999,7.547,0.17200000000000001,275.9,0.0,20.983999999999998,0.0,0.006616868,16.535183332,0.549466667,0.43226667,0.761483333,2.260850002,0.062133335,0.826249998,12.124866665,24.420633337,6.192934236999999,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,85.872016664,120.863304
